ID_Cliente;Segmento;Regiao;Pais;ID_Produto;Categoria;Quantidade_Produtos;Valor_Venda
VM-21685;Home Office;North Brabant;Netherlands;FUR-CH-10001582;Moveis;11;2570,865
BS-11365;Corporativo;New Jersey;United States;TEC-MA-10001047;Tecnologia;7;9099,93
DM-13525;Corporativo;Lower Saxony;Germany;TEC-PH-10000505;Tecnologia;9;2875,77
NM-18520;Consumidor;Galicia;Spain;FUR-BO-10002003;Moveis;4;1741,8
LC-16885;Consumidor;New South Wales;Australia;TEC-CO-10001775;Tecnologia;5;1601,64
RO-19780;Consumidor;Jiangsu;China;OFF-AP-10000647;Suprimentos;7;3670,8
SB-20185;Consumidor;California;United States;TEC-MA-10004002;Tecnologia;7;2973,32
EM-14065;Consumidor;Bremen;Germany;TEC-CO-10001926;Tecnologia;5;1900,95
RS-19765;Corporativo;California;United States;OFF-ST-10001496;Suprimentos;7;1261,33
ON-18715;Corporativo;Midi-Pyrénées;France;FUR-CH-10002203;Moveis;11;4544,1
VS-21820;Consumidor;Sichuan;China;FUR-BO-10001934;Moveis;4;1455,12
CM-12115;Consumidor;South Australia;Australia;TEC-CO-10000562;Tecnologia;6;1943,19
TB-21400;Consumidor;New York;United States;TEC-MA-10001127;Tecnologia;4;6999,96
AB-10105;Consumidor;Michigan;United States;OFF-BI-10000545;Suprimentos;13;9892,74
JK-15325;Corporativo;South Australia;Australia;TEC-CO-10002035;Tecnologia;5;1695,87
RP-19270;Corporativo;Ile-de-France;France;TEC-CO-10004099;Tecnologia;6;1505,979
DW-13540;Consumidor;Pahang;Malaysia;TEC-PH-10003002;Tecnologia;3;1954,17
PS-19045;Home Office;Virginia;United States;FUR-TA-10001932;Moveis;7;2244,48
CC-12370;Consumidor;Pennsylvania;United States;TEC-CO-10004722;Tecnologia;4;8399,976
TC-21295;Consumidor;Massachusetts;United States;FUR-CH-10000749;Moveis;9;1628,82
GM-14440;Consumidor;Pichincha;Ecuador;TEC-CO-10004398;Tecnologia;7;1213,18876
SV-20815;Corporativo;Gujarat;India;TEC-CO-10004535;Tecnologia;5;1590,6
MM-17920;Consumidor;Hainan;China;TEC-AC-10000420;Tecnologia;9;2330,64
JK-16120;Home Office;Sumatera Selatan;Indonesia;FUR-BO-10001212;Moveis;8;3278,5848
EM-14200;Home Office;Bangkok;Thailand;TEC-PH-10001670;Tecnologia;7;3741,5238
DJ-13510;Corporativo;California;United States;FUR-CH-10001215;Moveis;4;1603,136
PM-18940;Consumidor;Jawa Barat;Indonesia;FUR-BO-10004679;Moveis;10;3637,602
AT-10435;Home Office;Sonora;Mexico;OFF-AP-10001776;Suprimentos;7;2455,88
AB-10015;Consumidor;Hubei;China;TEC-MA-10003704;Tecnologia;8;1024,68
RP-19390;Consumidor;Wisconsin;United States;FUR-CH-10001854;Moveis;8;2807,84
MJ-17740;Consumidor;California;United States;TEC-MA-10000984;Tecnologia;4;4476,8
PV-18985;Home Office;São Paulo;Brazil;TEC-AC-10000376;Tecnologia;14;2297,96
SB-20290;Corporativo;Veneto;Italy;TEC-CO-10003800;Tecnologia;7;2671,41
SM-10005;Consumidor;Woqooyi Galbeed;Somalia;TEC-SAM-10004230;Tecnologia;6;3834
KF-16285;Home Office;California;United States;FUR-CH-10002320;Moveis;8;2054,272
KH-16330;Corporativo;Yogyakarta;Indonesia;OFF-AP-10002312;Suprimentos;8;3501,7368
MP-18175;Home Office;Western Australia;Australia;TEC-PH-10000169;Tecnologia;3;1725,462
LH-17020;Consumidor;Liaoning;China;TEC-CO-10000865;Tecnologia;5;1583,7
ND-18370;Consumidor;New York;United States;FUR-CH-10000595;Moveis;9;1931,04
CR-12625;Home Office;Queensland;Australia;FUR-BO-10000288;Moveis;7;2760,345
NC-18625;Corporativo;Dhaka;Bangladesh;TEC-AC-10000866;Tecnologia;12;3078,72
GM-14680;Consumidor;North Holland;Netherlands;OFF-AP-10001623;Suprimentos;7;1983,135
RA-19945;Consumidor;Upper Normandy;France;FUR-BO-10003541;Moveis;3;1112,778
DB-13060;Consumidor;North Rhine-Westphalia;Germany;TEC-CO-10004365;Tecnologia;10;3616,5
BW-11110;Corporativo;Michigan;United States;TEC-MA-10000822;Tecnologia;2;3059,982
RF-19735;Consumidor;Western Australia;Australia;TEC-PH-10000499;Tecnologia;5;2892,105
JH-15820;Consumidor;Hamburg;Germany;TEC-PH-10000800;Tecnologia;5;3263,4
AG-10675;Consumidor;Texas;United States;FUR-BO-10004834;Moveis;4;2396,2656
DM-12955;Corporativo;Guatemala;Guatemala;FUR-TA-10001642;Moveis;13;3117,088
KD-16270;Consumidor;New York;United States;TEC-MA-10003979;Tecnologia;7;4899,93
BE-11335;Home Office;Michoacán;Mexico;OFF-AP-10001041;Suprimentos;5;1888,7
SO-20335;Consumidor;Jilin;China;OFF-AP-10002090;Suprimentos;6;3000,78
DK-12835;Corporativo;Madrid;Spain;OFF-AP-10002330;Suprimentos;7;3801,63
LC-7050;Consumidor;Makkah;Saudi Arabia;TEC-CIS-10002344;Tecnologia;8;5211,12
PB-19210;Corporativo;Taipei City;Taiwan;FUR-TA-10002153;Moveis;3;1356,03
CG-12520;Consumidor;South Australia;Australia;OFF-AP-10004964;Suprimentos;7;3569,643
TB-21280;Consumidor;Oklahoma;United States;TEC-AC-10003832;Tecnologia;5;1287,45
HG-15025;Consumidor;Sumatera Utara;Indonesia;FUR-BO-10004679;Moveis;8;2910,0816
AD-10180;Home Office;Jakarta;Indonesia;FUR-CH-10002061;Moveis;9;3126,4002
BP-11155;Consumidor;England;United Kingdom;TEC-PH-10002759;Tecnologia;9;5276,988
AA-10480;Consumidor;Bangkok;Thailand;TEC-PH-10001699;Tecnologia;5;2645,376
RL-19615;Consumidor;New South Wales;Australia;FUR-BO-10001934;Moveis;5;1637,01
CS-12505;Consumidor;Ohio;United States;TEC-MA-10000418;Tecnologia;5;4499,985
SW-20245;Consumidor;Jawa Tengah;Indonesia;TEC-PH-10001699;Tecnologia;5;2645,376
TA-21385;Home Office;New York;United States;TEC-PH-10001494;Tecnologia;8;2399,6
BW-11110;Corporativo;Beijing;China;FUR-TA-10001889;Moveis;5;3238,305
YC-21895;Corporativo;England;United Kingdom;FUR-BO-10000490;Moveis;7;2291,814
JM-15580;Consumidor;Hidalgo;Mexico;TEC-PH-10000018;Tecnologia;5;2124,5
MZ-7335;Home Office;Brest;Belarus;FUR-HON-10003533;Moveis;6;2757,78
JF-15295;Consumidor;Valenciana;Spain;TEC-AC-10001949;Tecnologia;6;1549,98
JL-15835;Consumidor;North Carolina;United States;TEC-MA-10001127;Tecnologia;3;2624,985
DJ-3510;Corporativo;Zhytomyr;Ukraine;OFF-HOO-10004910;Suprimentos;6;3146,4
MF-18250;Corporativo;Ile-de-France;France;TEC-MA-10001335;Tecnologia;11;2456,619
TC-21295;Consumidor;Aquitaine;France;FUR-TA-10000347;Moveis;7;2228,6355
JE-15610;Corporativo;Georgia;United States;TEC-CO-10001449;Tecnologia;5;2999,95
CP-12340;Corporativo;Bihar;India;OFF-AP-10002090;Suprimentos;8;4001,04
EH-14125;Home Office;Ile-de-France;France;TEC-PH-10000493;Tecnologia;9;4876,875
NC-18340;Consumidor;Victoria;Australia;FUR-TA-10003596;Moveis;6;1788,822
BF-11005;Home Office;Haryana;India;OFF-AP-10002244;Suprimentos;7;3622,29
JS-16030;Consumidor;Sumatera Utara;Indonesia;FUR-TA-10003179;Moveis;5;1242,585
AM-10360;Corporativo;England;United Kingdom;TEC-PH-10001396;Tecnologia;7;4453,05
JF-15190;Consumidor;Phnom Penh;Cambodia;FUR-TA-10003078;Moveis;8;2673,36
AB-10015;Consumidor;Queensland;Australia;FUR-CH-10003581;Moveis;5;2046,195
JG-15160;Consumidor;England;United Kingdom;FUR-TA-10000184;Moveis;6;5451,3
DP-13390;Home Office;Nevada;United States;OFF-BI-10001120;Suprimentos;3;4535,976
AG-10330;Consumidor;Jambi;Indonesia;OFF-AP-10001956;Suprimentos;4;1722,2832
GK-14620;Corporativo;California;United States;TEC-PH-10002200;Tecnologia;7;2575,944
NF-18475;Home Office;North Rhine-Westphalia;Germany;OFF-AP-10003382;Suprimentos;2;1007,424
YC-21895;Corporativo;Delaware;United States;OFF-ST-10002011;Suprimentos;7;2934,33
DR-12940;Home Office;Queensland;Australia;OFF-AP-10003917;Suprimentos;9;4624,29
NB-18655;Corporativo;Hamburg;Germany;OFF-ST-10002900;Suprimentos;6;1066,446
NM-18445;Home Office;Guangdong;China;TEC-CO-10003819;Tecnologia;4;957,6
TA-21385;Home Office;Tasmania;Australia;OFF-AP-10000675;Suprimentos;10;4864,32
NP-18670;Consumidor;New Jersey;United States;FUR-BO-10003404;Moveis;5;2154,9
SC-20380;Consumidor;National Capital;Philippines;OFF-AP-10001824;Suprimentos;3;1433,8395
PA-9060;Home Office;Gauteng;South Africa;OFF-SME-10000746;Suprimentos;14;2784,6
RB-19570;Consumidor;Basque Country;Spain;FUR-BO-10004999;Moveis;7;3063,27
SR-20740;Home Office;New York;United States;TEC-MA-10003673;Tecnologia;5;3404,5
RH-19510;Home Office;Rhode Island;United States;OFF-ST-10001490;Suprimentos;9;1606,23
LH-16750;Consumidor;Santo Domingo;Dominican Republic;TEC-PH-10004196;Tecnologia;6;2044,8
JG-15160;Consumidor;New York;United States;TEC-PH-10001578;Tecnologia;3;1214,85
KB-16585;Corporativo;Shandong;China;TEC-CO-10000208;Tecnologia;4;1521
LH-17155;Consumidor;Aquitaine;France;OFF-AP-10002330;Suprimentos;5;2443,905
EM-13810;Corporativo;California;United States;FUR-CH-10003312;Moveis;6;1348,704
MZ-7515;Corporativo;Fars;Iran;TEC-EPS-10000053;Tecnologia;10;1141,8
DM-13345;Corporativo;Jharkhand;India;OFF-ST-10004060;Suprimentos;9;1865,97
CA-11965;Corporativo;Shizuoka;Japan;TEC-PH-10000303;Tecnologia;11;6998,64
SC-20305;Consumidor;Valenciana;Spain;FUR-BO-10002708;Moveis;3;1091,25
MH-18115;Home Office;Kerala;India;FUR-BO-10000210;Moveis;3;1094,22
KS-16300;Corporativo;South Australia;Australia;FUR-BO-10001192;Moveis;4;1320,624
BG-11740;Consumidor;Kuala Lumpur;Malaysia;TEC-PH-10004664;Tecnologia;4;2555,64
CR-2625;Home Office;Astrakhan';Russia;FUR-SAU-10002255;Moveis;8;3498,72
CB-12415;Consumidor;Ohio;United States;TEC-CO-10001449;Tecnologia;4;1439,976
DK-13090;Consumidor;Hunan;China;TEC-CO-10001954;Tecnologia;6;2272,86
JL-15835;Consumidor;Zhejiang;China;TEC-PH-10003002;Tecnologia;8;5211,12
AP-10720;Home Office;Madhya Pradesh;India;TEC-PH-10003856;Tecnologia;4;2582,16
CR-12820;Home Office;Bihar;India;TEC-PH-10004664;Tecnologia;5;3194,55
BF-11080;Consumidor;South Australia;Australia;FUR-CH-10000974;Moveis;4;1704,996
JM-15265;Corporativo;National Capital;Philippines;OFF-AP-10003866;Suprimentos;6;1538,721
NM-18445;Home Office;Guangdong;China;FUR-CH-10003616;Moveis;3;1381,32
TW-21025;Home Office;Pays de la Loire;France;FUR-BO-10004999;Moveis;3;1181,547
RB-19330;Consumidor;Burgundy;France;FUR-CH-10000479;Moveis;4;1696,248
PS-19045;Home Office;California;United States;TEC-CO-10001046;Tecnologia;6;3359,952
JA-15970;Consumidor;Pennsylvania;United States;OFF-SU-10002881;Suprimentos;7;4663,736
AB-60;Home Office;Western Cape;South Africa;OFF-HOO-10000318;Suprimentos;4;1237,56
JR-5670;Consumidor;Al Qahirah;Egypt;TEC-NOK-10001283;Tecnologia;2;1274,7
MD-17350;Consumidor;Antioquia;Colombia;OFF-AP-10000407;Suprimentos;9;3172,14
PK-19075;Consumidor;New York;United States;OFF-BI-10001359;Suprimentos;6;4305,552
EB-13840;Corporativo;England;United Kingdom;OFF-AP-10004512;Suprimentos;7;3979,29
TP-21130;Consumidor;Michigan;United States;FUR-CH-10002335;Moveis;7;1586,69
JK-15640;Home Office;Washington;United States;TEC-MA-10001148;Tecnologia;6;2395,2
CD-11920;Consumidor;New York;United States;TEC-PH-10001459;Tecnologia;3;1259,97
JL-5835;Consumidor;Baki;Azerbaijan;FUR-BAR-10004434;Moveis;4;2058
EP-13915;Consumidor;Jakarta;Indonesia;FUR-BO-10002444;Moveis;7;2539,8765
MS-17770;Consumidor;England;United Kingdom;FUR-BO-10004709;Moveis;7;2898,21
CM-12655;Home Office;Pays de la Loire;France;TEC-MA-10004772;Tecnologia;5;1320,0075
JC-6105;Corporativo;Vilnius;Lithuania;FUR-BAR-10003532;Moveis;8;2171,16
GB-14530;Corporativo;Queensland;Australia;TEC-CO-10002911;Tecnologia;13;4448,223
TW-21025;Home Office;Washington;United States;FUR-TA-10001705;Moveis;9;1913,4
JH-16180;Consumidor;Buenos Aires;Argentina;TEC-PH-10000169;Tecnologia;9;2300,616
MT-8070;Home Office;Suhaj;Egypt;FUR-SAU-10004653;Moveis;6;2615,94
AB-10105;Consumidor;Kerala;India;TEC-CO-10002526;Tecnologia;3;1066,68
LA-16780;Corporativo;Michigan;United States;FUR-CH-10002024;Moveis;5;3504,9
CV-2805;Corporativo;Maseru;Lesotho;TEC-NOK-10004339;Tecnologia;4;2544,6
NH-18610;Corporativo;Wellington;New Zealand;FUR-TA-10000022;Moveis;4;3694,68
HJ-14875;Home Office;Henan;China;FUR-TA-10002153;Moveis;7;2214,849
JL-15175;Home Office;Bahia;Brazil;FUR-CH-10000843;Moveis;4;1236,48
MY-18295;Corporativo;Matagalpa;Nicaragua;OFF-AP-10002681;Suprimentos;5;1805,9
SB-20290;Corporativo;Texas;United States;TEC-MA-10000822;Tecnologia;3;3059,982
JK-15640;Home Office;Washington;United States;TEC-AC-10002049;Tecnologia;4;1687,8
MW-18235;Corporativo;Virginia;United States;OFF-BI-10003925;Suprimentos;7;2715,93
KC-16540;Consumidor;Managua;Nicaragua;OFF-AP-10004627;Suprimentos;5;1810,3
CS-12460;Consumidor;Managua;Nicaragua;TEC-PH-10001076;Tecnologia;5;2120,5
HA-14920;Consumidor;Inner Mongolia;China;TEC-PH-10001457;Tecnologia;2;1275
MT-17815;Consumidor;Pays de la Loire;France;TEC-MA-10004534;Tecnologia;7;1593,648
FW-14395;Corporativo;Alsace;France;FUR-BO-10003991;Moveis;3;1114,236
BH-11710;Consumidor;Berlin;Germany;TEC-PH-10002623;Tecnologia;5;2944,08
DK-12895;Consumidor;Jawa Timur;Indonesia;OFF-AP-10002793;Suprimentos;7;3309,2598
KD-16270;Consumidor;São Paulo;Brazil;FUR-CH-10002093;Moveis;9;897,48
SC-20845;Consumidor;Vienna;Austria;FUR-BO-10003103;Moveis;5;2056,05
CY-12745;Corporativo;Distrito Federal;Mexico;TEC-CO-10001818;Tecnologia;10;2365,6592
HL-15040;Consumidor;Tasmania;Australia;TEC-CO-10002040;Tecnologia;7;1336,356
CT-11995;Consumidor;Osaka;Japan;TEC-CO-10001654;Tecnologia;8;3038,64
CC-12370;Consumidor;England;United Kingdom;OFF-AP-10002397;Suprimentos;9;2698,65
GR-4560;Corporativo;Maseru;Lesotho;TEC-CAN-10001853;Tecnologia;12;3799,08
TT-21070;Consumidor;Uttar Pradesh;India;FUR-CH-10001207;Moveis;6;2756,34
PO-19195;Home Office;Catalonia;Spain;TEC-PH-10002597;Tecnologia;8;983,88
ED-13885;Home Office;Ho Chí Minh City;Vietnam;FUR-CH-10003232;Moveis;5;1719,807
AP-10915;Consumidor;Jakarta;Indonesia;OFF-AP-10003917;Suprimentos;3;1421,541
TM-21490;Consumidor;Camagüey;Cuba;TEC-CO-10002617;Tecnologia;5;1053,6884
AW-10840;Consumidor;North Holland;Netherlands;TEC-CO-10000556;Tecnologia;8;1440,84
DP-13105;Corporativo;Queensland;Australia;FUR-CH-10003232;Moveis;6;2544,372
AT-10735;Consumidor;New Jersey;United States;OFF-AP-10000275;Suprimentos;8;2625,12
SG-10605;Consumidor;Neamt;Romania;TEC-HEW-10003460;Tecnologia;8;1554,48
BM-11785;Consumidor;Distrito Federal;Mexico;TEC-PH-10004196;Tecnologia;3;1278
FH-14365;Corporativo;Distrito Federal;Mexico;TEC-PH-10002672;Tecnologia;8;3474,08
DK-13375;Consumidor;Guanajuato;Mexico;TEC-PH-10000106;Tecnologia;6;2550
PF-19225;Consumidor;California;United States;OFF-AP-10003057;Suprimentos;4;1101,48
TG-21310;Consumidor;California;United States;OFF-BI-10003527;Suprimentos;1;1016,792
YC-21895;Corporativo;California;United States;TEC-CO-10002095;Tecnologia;3;1199,976
SF-10200;Consumidor;Izmir;Turkey;TEC-SAM-10000345;Tecnologia;14;934,248
HL-15040;Consumidor;Delaware;United States;TEC-CO-10004722;Tecnologia;3;10499,97
JW-5220;Corporativo;Dakar;Senegal;TEC-CIS-10002259;Tecnologia;6;3908,88
CC-12100;Home Office;Distrito Federal;Mexico;TEC-PH-10004182;Tecnologia;5;2142,3
RD-19930;Consumidor;Auckland;New Zealand;OFF-AP-10004350;Suprimentos;6;1900,584
BP-1230;Consumidor;Centre;Cameroon;OFF-HOO-10000335;Suprimentos;6;1840,68
SA-20830;Consumidor;England;United Kingdom;FUR-BO-10004129;Moveis;6;2624,04
EM-13810;Corporativo;Uttarakhand;India;FUR-BO-10001372;Moveis;7;3076,5
CS-12175;Corporativo;Bangkok;Thailand;TEC-PH-10004664;Tecnologia;6;3181,7718
JD-16060;Consumidor;Cantabria;Spain;OFF-ST-10004597;Suprimentos;11;1392,633
GH-14665;Consumidor;Hebei;China;FUR-CH-10001664;Moveis;8;1296,24
